nutrient,sex,age,year,Reg_Prov,x,y
Vitamin D,Male,1-3 years,2004,Canada excluding territories,0.384806350654866,0.013003568118481
Vitamin D,Male,1-3 years,2004,Canada excluding territories,0.424839230363315,0.013704515636354
Vitamin D,Male,1-3 years,2004,Canada excluding territories,0.464872110071763,0.014432314505312
Vitamin D,Male,1-3 years,2004,Canada excluding territories,0.504904989780212,0.015180682879203
Vitamin D,Male,1-3 years,2004,Canada excluding territories,0.54493786948866,0.01595201916059
Vitamin D,Male,1-3 years,2004,Canada excluding territories,0.584970749197109,0.016756369050947
Vitamin D,Male,1-3 years,2004,Canada excluding territories,0.625003628905557,0.017581362063189
Vitamin D,Male,1-3 years,2004,Canada excluding territories,0.665036508614006,0.018426980063819
Vitamin D,Male,1-3 years,2004,Canada excluding territories,0.705069388322455,0.019304204000398
Vitamin D,Male,1-3 years,2004,Canada excluding territories,0.745102268030903,0.020205365706656
Vitamin D,Male,1-3 years,2004,Canada excluding territories,0.785135147739352,0.021126812441797
Vitamin D,Male,1-3 years,2004,Canada excluding territories,0.8251680274478,0.022073459396986
Vitamin D,Male,1-3 years,2004,Canada excluding territories,0.865200907156249,0.023049148781535
Vitamin D,Male,1-3 years,2004,Canada excluding territories,0.905233786864698,0.024044428932207
Vitamin D,Male,1-3 years,2004,Canada excluding territories,0.945266666573146,0.025059192220848
Vitamin D,Male,1-3 years,2004,Canada excluding territories,0.985299546281595,0.0261058717695
Vitamin D,Male,1-3 years,2004,Canada excluding territories,1.02533242599004,0.027171834935031
Vitamin D,Male,1-3 years,2004,Canada excluding territories,1.06536530569849,0.028256191090016
Vitamin D,Male,1-3 years,2004,Canada excluding territories,1.10539818540694,0.029365514705878
Vitamin D,Male,1-3 years,2004,Canada excluding territories,1.14543106511539,0.030497920701204
Vitamin D,Male,1-3 years,2004,Canada excluding territories,1.18546394482384,0.031647319272317
Vitamin D,Male,1-3 years,2004,Canada excluding territories,1.22549682453229,0.032815085038065
Vitamin D,Male,1-3 years,2004,Canada excluding territories,1.26552970424073,0.034008700387699
Vitamin D,Male,1-3 years,2004,Canada excluding territories,1.30556258394918,0.035217633234627
Vitamin D,Male,1-3 years,2004,Canada excluding territories,1.34559546365763,0.036441653253783
Vitamin D,Male,1-3 years,2004,Canada excluding territories,1.38562834336608,0.037687624022358
